"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"1","Cluster","01-01",11.6527916666667,46.5694444444444,-1.44756944444444,26005.2017361111,0,198401.3,1.656,31.064,7.51120137407336,52980.2363853611,2.7913119931753,14.696477464498,76.5,22.5,5.8,-5.1,32,"OC"
"2","Cluster","01-02",9.36452777777778,57.2291666666667,-0.604513888888889,25291.9034722222,0,187379,-0.325,29.452,8.00436342801396,52543.9524932145,2.79261353488218,16.4238157788827,82,21,5.5,-4.9,33,"OC"
"3","Cluster","01-03",10.4431111111111,62.4809027777778,1.62291666666667,25430.2291666667,0,187379,0.784,30.659,8.76614976020107,52550.5451762361,3.20143083755772,15.9298489317078,86.5,23.5,7.8,-3.4,34,"OC"
"4","Cluster","01-04",10.56659375,71.1267361111111,3.55763888888889,22243.1260416667,0,187379,0.893,28.456,8.36379818472469,50162.5766963305,3.73768043482953,17.6493254929249,91,25,9.3,-1.9,35,"OC"
"5","Cluster","01-05",9.76926041666667,88.6753472222222,7.70520833333333,765.883333333333,0,16533.4,6.674,14.23,2.16708174450055,1625.38468896074,1.64641114028579,12.6098511024814,100.5,56,10,4.9,36,"OC"
"6","Cluster","01-06",12.4055451388889,94.4652777777778,10.8909722222222,12197.3229166667,0,154312.1,6.877,22.333,3.77493568139276,33426.5904525286,2.37668445878861,6.45924041061738,101.5,74.5,14.4,7.1,37,"OC"
"7","Cluster","01-07",14.7470277777778,99.3871527777778,13.8284722222222,4421.14756944444,0,46844.8,10.553,26.097,3.18945909899679,8484.20599909304,1.60489943216982,2.98169938758113,102,89.5,17.4,10.7,38,"OC"
"8","Cluster","01-08",13.8318715277778,94.7239583333333,12.2336805555556,6067.73541666667,0,55111.5,9.472,21.378,3.41939425032951,11175.8124664795,1.65807421416844,6.56495412051978,103,79.5,16.6,9.8,39,"OC"
"9","Cluster","01-09",13.0202881944444,96.8506944444444,12.1604166666667,924.056944444444,0,7577.8,9.077,15.378,1.24931684339528,1543.0748227912,0.970198352506112,7.34908083117235,103.5,82,14.2,9.4,40,"OC"
"10","Cluster","01-10",13.8304305555556,98.1649305555556,11.6003472222222,19390.0777777778,0,165334.4,6.166,30.558,6.41061460376056,43644.3097298336,2.84931067235359,6.43864524635432,103.5,72.5,17.7,6.5,41,"OC"
